<pad> day math tutor head life <eos>
<pad> halloween costume day home night <eos>
<pad> tom money bought found <eos> saved
<pad> car oil change put home <eos>
<pad> waiter day decided time home <eos>
<pad> money day found finally paid <eos>
<pad> babysit babysitting day lot left <eos>
<pad> piano lessons lot day happy <eos>
<pad> cheerleader school day lot happy <eos>
<pad> wanted day time decided home <eos>
<pad> movies wanted movie decided time <eos>
<pad> day wanted decided home back <eos>
<pad> play excited game won performance <eos>
<pad> molly day decided mom home <eos>
<pad> running run ran mile rain <eos>
<pad> day house side died man <eos>
<pad> washer put wash clothes home <eos>
<pad> wanted day decided found love <eos>
<pad> movie movies theater scary tom <eos>
<pad> car decided started day back <eos>
<pad> late work traffic boss time <eos>
<pad> day wanted decided home back <eos>
<pad> ice day decided home fell <eos>
<pad> cat pet day cats adopt <eos>
<pad> day wanted decided home back <eos>
<pad> bottle day decided felt happy <eos>
<pad> jacket money find put i <eos>
<pad> wanted study decided end ended <eos>
<pad> dog shelter find owner home <eos>
<pad> shoes found feet pair home <eos>
<pad> day wanted decided home back <eos>
<pad> pete day decided doctor home <eos>
<pad> job day interview work home <eos>
<pad> costume scary frightened scared i <eos>
<pad> dog day shelter adopt home <eos>
<pad> day wanted decided home back <eos>
<pad> puppy wanted food decided home <eos>
<pad> nervous date practiced asked end <eos>
<pad> job day friends told left <eos>
<pad> pen ink day made home <eos>
<pad> muscle day worked work i <eos>
<pad> job day lot man told <eos>
<pad> read books lot book glad <eos>
<pad> spiders spider room screamed bed <eos>
<pad> day wanted decided home back <eos>
<pad> car suddenly day hurt hospital <eos>
<pad> girl day doctor restaurant <eos> videos
<pad> day wanted decided home back <eos>
<pad> lulu sister day mom happy <eos>
<pad> day wanted decided thought home <eos>
<pad> day house steps put home <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided thought home <eos>
<pad> restaurant food ate eating home <eos>
<pad> hat find looked lost wore <eos>
<pad> town house market decided home <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> tom house dirt clean put <eos>
<pad> friend day decided put back <eos>
<pad> day water decided home <eos> glad
<pad> wanted day decided year happy <eos>
<pad> wanted day started time home <eos>
<pad> house day decided night left <eos>
<pad> hair wear day dress happy <eos>
<pad> pregnant mom mother decided home <eos>
<pad> car ticket drove cop home <eos>
<pad> job day fireplace put home <eos>
<pad> wanted day decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> tom day found back eventually <eos>
<pad> day wanted decided home back <eos>
<pad> day juice started water <eos> delicious
<pad> flowers day picked put <eos> smell
<pad> head suddenly air hospital hit <eos>
<pad> contest compete entered won proud <eos>
<pad> contest win compete won place <eos>
<pad> park wanted ball game won <eos>
<pad> nervous day started work home <eos>
<pad> day wanted decided home back <eos>
<pad> coupons wanted found looked happy <eos>
<pad> wanted friends decided home make <eos>
<pad> house decided put day home <eos>
<pad> house store found ran home <eos>
<pad> day wanted decided home back <eos>
<pad> wanted day decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> spiders spider screamed bathroom room <eos>
<pad> restaurant salad order home line <eos>
<pad> wanted day decided made home <eos>
<pad> work day decided eventually <eos> glad
<pad> stories write talked glad <eos> he
<pad> travel stop decided train missed <eos>
<pad> marathon race run months day <eos>
<pad> day wanted decided home back <eos>
<pad> dog shelter day home time <eos>
<pad> phones phone dropped purchased screen <eos>
<pad> pool friends fun party home <eos>
<pad> car house day picked decided <eos>
<pad> friend friends day dog puppy <eos>
<pad> tom house day grabbed home <eos>
<pad> job early day decided <eos> proud
<pad> peanuts food minutes hospital home <eos>
<pad> bike rode bicycle found bought <eos>
<pad> store day decided bought home <eos>
<pad> day wanted decided home back <eos>
<pad> prom dress wear shopping stores <eos>
<pad> keys looked find searched found <eos>
<pad> tired sleep stayed work night <eos>
<pad> waiting day decided home ended <eos>
<pad> feeling doctor flu bed rest <eos>
<pad> car day started happened home <eos>
<pad> friend day started told home <eos>
<pad> egg day eggs put home <eos>
<pad> movie wanted movies theater decided <eos>
<pad> car day ran home <eos> monster
<pad> family food plate put home <eos>
<pad> birthday friends excited presents cake <eos>
<pad> teacher school day students happy <eos>
<pad> shoes ugly pair eventually found <eos>
<pad> hurricane wanted day lot home <eos>
<pad> hike trail day squirrel woods <eos>
<pad> doctor appointment day office home <eos>
<pad> glasses day broke fixed fix <eos>
<pad> peter day decided made time <eos>
<pad> day wanted decided home back <eos>
<pad> vacation day hotel finally home <eos>
<pad> day wanted decided home back <eos>
<pad> box day put home opened <eos>
<pad> night cat sleep home room <eos>
<pad> laptop needed bought buy loved <eos>
<pad> business wanted day started job <eos>
<pad> day wanted decided home back <eos>
<pad> leftovers fridge food eat <eos> i
<pad> day wanted decided home back <eos>
<pad> job thought day ended band <eos>
<pad> dinner ingredients food ate home <eos>
<pad> car decided day home left <eos>
<pad> bookstore wanted found book shelves <eos>
<pad> day wanted decided home back <eos>
<pad> sarah day decided made year <eos>
<pad> salad lettuce eat returned <eos> tomato
<pad> play nervous school lines night <eos>
<pad> sing day sang song won <eos>
<pad> fishing salmon fish tank caught <eos>
<pad> dinner birthday day pizza put <eos>
<pad> newspaper day decided home paper <eos>
<pad> house day ran door home <eos>
<pad> john day jacket left <eos> someone
<pad> alligator wanted water decided home <eos>
<pad> restaurant terrible service decided back <eos>
<pad> job wanted day spoke life <eos>
<pad> shave day weeks beard lot <eos>
<pad> bake bread decided baked made <eos>
<pad> hair cut haircut day mistake <eos>
<pad> day wanted decided home back <eos>
<pad> cold snow winter day year <eos>
<pad> wanted decided store home back <eos>
<pad> watch day buy bought happy <eos>
<pad> day wanted decided home back <eos>
<pad> car day decided minutes home <eos>
<pad> bed night put soaked spilled <eos>
<pad> wanted brother day back glad <eos>
<pad> glasses wore picked contacts happy <eos>
<pad> gina phone decided back home <eos>
<pad> class nervous school day proud <eos>
<pad> puppy dog parents vet home <eos>
<pad> day wanted decided home back <eos>
<pad> park day ticket game won <eos>
<pad> tom day work back home <eos>
<pad> day wanted decided home back <eos>
<pad> tom loud day work turned <eos>
<pad> day wanted decided home back <eos>
<pad> play playing game won team <eos>
<pad> balloon birthday store blew bought <eos>
<pad> cat day cats home leash <eos>
<pad> couch store day heavy happy <eos>
<pad> house family day decided home <eos>
<pad> wanted day decided home back <eos>
<pad> job day decided lot back <eos>
<pad> wanted day decided home found <eos>
<pad> joke day decided mom performance <eos>
<pad> cookies ingredients batter mixed make <eos>
<pad> tim bottle decided back home <eos>
<pad> hill rock day home loved <eos>
<pad> reading bookstore book found returned <eos>
<pad> friends day decided back home <eos>
<pad> boyfriend day dates asked love <eos>
<pad> store decided home melted delicious <eos>
<pad> car day started fell back <eos>
<pad> wanted day decided home back <eos>
<pad> waiting day lot time year <eos>
<pad> teacher students student class school <eos>
<pad> day house decided door back <eos>
<pad> friends day big decided home <eos>
<pad> tom ball suddenly rain fix <eos>
<pad> day wanted decided home back <eos>
<pad> playground swings asked day man <eos>
<pad> swim pool swimming swam scared <eos>
<pad> day wanted decided home back <eos>
<pad> camp parents started time home <eos>
<pad> fire house day alive home <eos>
<pad> office day work kitchen home <eos>
<pad> cigarette day smoke smoking <eos> love
<pad> money store decided groceries paid <eos>
<pad> bake cake made oven janet <eos>
<pad> girl day asked mom home <eos>
<pad> day wanted decided home back <eos>
<pad> job phone service terrible back <eos>
<pad> dinner food decided eating home <eos>
<pad> car road day won home <eos>
<pad> pay card money paid debt <eos>
<pad> hiking bear ran home <eos> i
<pad> day wanted decided home back <eos>
<pad> john house day excited home <eos>
<pad> day wanted decided home back <eos>
<pad> mail mailbox day mailman home <eos>
<pad> wanted day decided home back <eos>
<pad> house day decided found home <eos>
<pad> car house work pay left <eos>
<pad> car money drive found brand <eos>
<pad> stew decided day delicious home <eos>
<pad> car needed day decided wait <eos>
<pad> office doctor lot sick day <eos>
<pad> day wanted decided home back <eos>
<pad> trip visit finally wait fun <eos>
<pad> bag day found eat <eos> someone
<pad> day house home decided family <eos>
<pad> day work woke lost home <eos>
<pad> florida wanted day time home <eos>
<pad> arm day broken doctor <eos> i
<pad> work day decided eventually <eos> glad
<pad> smoked quit cigarettes smoking day <eos>
<pad> army wanted day time proud <eos>
<pad> day decided asked lot home <eos>
<pad> night family fire sleep wait <eos>
<pad> work worked day job boss <eos>
<pad> dinner day decided chicken home <eos>
<pad> day suddenly water back home <eos>
<pad> class teacher day school classes <eos>
<pad> heat day sweat home back <eos>
<pad> night suddenly day hit home <eos>
<pad> sandwich fridge kitchen ate cookies <eos>
<pad> job day nervous decided left <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> muscle day work passed <eos> he
<pad> day wanted decided home back <eos>
<pad> wanted excited time decided home <eos>
<pad> gina day started back home <eos>
<pad> car money drive found brand <eos>
<pad> river day flooded home <eos> soaked
<pad> car needed day decided wait <eos>
<pad> gina day work decided left <eos>
<pad> job money work interview fired <eos>
<pad> sandwich cheese made make <eos> to
<pad> pregnant day decided home twins <eos>
<pad> wanted day decided home back <eos>
<pad> today birthday day put home <eos>
<pad> moon day decided back home <eos>
<pad> day wanted decided thought home <eos>
<pad> work broken broke ankle fell <eos>
<pad> day wanted decided home back <eos>
<pad> boat dad day buy proud <eos>
<pad> milk fridge cereal poured decided <eos>
<pad> cat day food home back <eos>
<pad> day wanted decided home back <eos>
<pad> hobby knitting wanted day loved <eos>
<pad> family wanted excited decided happy <eos>
<pad> car drive speed found home <eos>
<pad> tooth dentist teeth mouth pillow <eos>
<pad> tom day house back home <eos>
<pad> wanted day decided home back <eos>
<pad> tom house back door work <eos>
<pad> day wanted decided home back <eos>
<pad> chips hungry decided food tasted <eos>
<pad> attic space exterminator back home <eos>
<pad> hike snake day frightened scared <eos>
<pad> wanted nervous time decided happy <eos>
<pad> anna clean cleaned put left <eos>
<pad> wanted day decided game proud <eos>
<pad> job day started life love <eos>
<pad> photographer pictures picture photos love <eos>
<pad> tom water back day drank <eos>
<pad> friend day money gold won <eos>
<pad> day wanted decided home back <eos>
<pad> job applied jobs sales delight <eos>
<pad> tom day started home <eos> i
<pad> wanted decided day found home <eos>
<pad> dentist teeth day found home <eos>
<pad> horses horse brushed day <eos> improved
<pad> ball day neighbor rolled catch <eos>
<pad> birthday friends celebrate presents gifts <eos>
<pad> day wanted decided home back <eos>
<pad> wanted decided day home left <eos>
<pad> concert town tickets show end <eos>
<pad> day decided ate pizza make <eos>
<pad> war win day won home <eos>
<pad> day wanted decided home back <eos>
<pad> kitten cat finally home adopt <eos>
<pad> day wanted decided home back <eos>
<pad> dog day shelter run home <eos>
<pad> day bubbles ran found happy <eos>
<pad> job applied jobs sales delight <eos>
<pad> work day decided sleep home <eos>
<pad> work decided day remote home <eos>
<pad> friends day decided found love <eos>
<pad> tim house wrong finally back <eos>
<pad> day wanted decided home back <eos>
<pad> wanted day decided home back <eos>
<pad> town money decided finally happy <eos>
<pad> day wanted decided home back <eos>
<pad> wanted day decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> car house day ran home <eos>
<pad> ticket stadium win won cop <eos>
<pad> wanted friends decided cop glad <eos>
<pad> bake cookies put mixed kitchen <eos>
<pad> computer turned work parts fix <eos>
<pad> day wanted decided home back <eos>
<pad> teddy wanted waited home i <eos>
<pad> chair fixed fell stained fix <eos>
<pad> bike rode fix fell crashed <eos>
<pad> wanted needed found finally happy <eos>
<pad> mall shop shopping stores home <eos>
<pad> work asked sleep day home <eos>
<pad> car money drive found brand <eos>
<pad> work day decided eventually home <eos>
<pad> wanted day decided home family <eos>
<pad> day wanted decided home back <eos>
<pad> tim day started home happy <eos>
<pad> wash cleaned clean room mess <eos>
<pad> race faster ran won ankle <eos>
<pad> job day decided year home <eos>
<pad> wanted day decided lot home <eos>
<pad> laptop find day work back <eos>
<pad> vase day house decided home <eos>
<pad> tom fridge morning put home <eos>
<pad> tom fridge juice poured drink <eos>
<pad> money buy give gift expert <eos>
<pad> movie decided put popcorn home <eos>
<pad> day wanted decided home back <eos>
<pad> work day started home i <eos>
<pad> school class day eventually proud <eos>
<pad> work day broke fix home <eos>
<pad> work house stolen back man <eos>
<pad> day wanted decided home back <eos>
<pad> wanted day decided home <eos> speakers
<pad> watch buy decided day home <eos>
<pad> day wanted decided home back <eos>
<pad> watch couch day work home <eos>
<pad> locker asked day told back <eos>
<pad> day wanted decided home back <eos>
<pad> day house side died man <eos>
<pad> tree reach day tied damage <eos>
<pad> balloon sky wind air popped <eos>
<pad> car suddenly fell knees back <eos>
<pad> race day ran run won <eos>
<pad> hiking trail hike hiked rest <eos>
<pad> girlfriend met girl finally love <eos>
<pad> breakfast bacon poured decided morning <eos>
<pad> money buy give gift expert <eos>
<pad> wanted needed decided finally happy <eos>
<pad> dinner food decided tasted eating <eos>
<pad> dinner date asked arrived resolved <eos>
<pad> tom day morning night home <eos>
<pad> gina day fence mom told <eos>
<pad> wanted day decided hard home <eos>
<pad> wanted day decided made happy <eos>
<pad> friends day looked back lost <eos>
<pad> day wanted decided home back <eos>
<pad> tom fell leg hospital arm <eos>
<pad> day wanted decided thought home <eos>
<pad> day decided lot home fired <eos>
<pad> day wanted decided thought home <eos>
<pad> trail day decided lost home <eos>
<pad> house day told put room <eos>
<pad> tom loud day birds back <eos>
<pad> job applied jobs sales delight <eos>
<pad> day wanted decided home back <eos>
<pad> turtle day set grass home <eos>
<pad> day wanted decided home back <eos>
<pad> wanted excited lot decided home <eos>
<pad> gina day decided doctor left <eos>
<pad> day wanted decided home back <eos>
<pad> essay wrote write day months <eos>
<pad> school snow day closed home <eos>
<pad> girlfriend girl met mom mystery <eos>
<pad> tom drive accident car <eos> way
<pad> bank money cash saved bills <eos>
<pad> week day decided lot home <eos>
<pad> grade school grades class test <eos>
<pad> day needed decided work home <eos>
<pad> gina house mom hospital back <eos>
<pad> day wanted decided game won <eos>
<pad> diagnosed treatment doctor decided hospital <eos>
<pad> car license cars day life <eos>
<pad> tom day finally home <eos> glad
<pad> day wanted decided home back <eos>
<pad> read book library bookstore returned <eos>
<pad> anna day decided lot home <eos>
<pad> laptop day bought buy home <eos>
<pad> hill rock day fell home <eos>
<pad> class school day semester proud <eos>
<pad> work late boss office time <eos>
<pad> beach day leave back home <eos>
<pad> wanted day decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> pool swim towels day home <eos>
<pad> snowman snow build difficult hat <eos>
<pad> cat pet cats home kitten <eos>
<pad> chef ingredients day cooking meals <eos>
<pad> day wanted decided home back <eos>
<pad> sam day put hit <eos> someone
<pad> day work decided home <eos> someone
<pad> music loud headphones listen night <eos>
<pad> play win game team won <eos>
<pad> fred drink day soda home <eos>
<pad> gina wanted day back decided <eos>
<pad> car drove late leave home <eos>
<pad> cleaning clean day cleaned home <eos>
<pad> wanted day buy magic found <eos>
<pad> walk rain started continue rained <eos>
<pad> park ball ankle shot ran <eos>
<pad> milk fridge store poured spilled <eos>
<pad> vacation day hotel family trip <eos>
<pad> washer put wash clothes home <eos>
<pad> job day decided lot man <eos>
<pad> wanted day decided home back <eos>
<pad> child day decided back left <eos>
<pad> pony day put walked i <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> tom started meeting man <eos> never
<pad> car money decided home found <eos>
<pad> dinner ingredients cooked food home <eos>
<pad> sweater small wear found gift <eos>
<pad> day house side work back <eos>
<pad> school nervous day lot happy <eos>
<pad> homework finish teacher work finished <eos>
<pad> day wanted decided home back <eos>
<pad> line impatient hours long wait <eos>
<pad> phone phones dropped silent screen <eos>
<pad> piano lessons lot day happy <eos>
<pad> vacation day hotel family trip <eos>
<pad> gina fridge day back left <eos>
<pad> wanted day decided home back <eos>
<pad> work day machine home fix <eos>
<pad> friends day fun decided end <eos>
<pad> day wanted decided home back <eos>
<pad> laptop day work started home <eos>
<pad> day wanted decided home back <eos>
<pad> play friends game games won <eos>
<pad> dinner hungry food decided home <eos>
<pad> max day decided time home <eos>
<pad> tom day decided home left <eos>
<pad> fishing boat caught water home <eos>
<pad> bus late day time overslept <eos>
<pad> prom date asked agreed resolved <eos>
<pad> candy sweets ate decided delicious <eos>
<pad> line day started home wait <eos>
<pad> tom store drink home found <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> mall buy store bought home <eos>
<pad> vegetarian wanted day back home <eos>
<pad> tom hair wash mistake home <eos>
<pad> day wanted decided home back <eos>
<pad> paint color painted carpet ruined <eos>
<pad> car money drive decided drove <eos>
<pad> house family day finally home <eos>
<pad> friends day house decided home <eos>
<pad> bill day started walked home <eos>
<pad> friend house friends day dog <eos>
<pad> wanted decided day found home <eos>
<pad> park day suddenly ran home <eos>
<pad> cup drink work day coffee <eos>
<pad> spiders noticed decided spider home <eos>
<pad> wanted day decided made love <eos>
<pad> cat day cats home adopt <eos>
<pad> language wanted decided day <eos> to
<pad> holiday day family home love <eos>
<pad> movie day started back home <eos>
<pad> night sleep decided day home <eos>
<pad> day wanted decided home back <eos>
<pad> dinner day decided finally home <eos>
<pad> fred date dinner asked resolved <eos>
<pad> magazine day read decided police <eos>
<pad> chickens eggs pan mixed spoiled <eos>
<pad> wear tie day tied proud <eos>
<pad> birthday gift present gifts presents <eos>
<pad> teacher day class school grade <eos>
<pad> dark water heard night back <eos>
<pad> kids day back doctor home <eos>
<pad> phone parents lost searched answer <eos>
<pad> day bubbles ran found happy <eos>
<pad> day wanted decided home back <eos>
<pad> kids day decided lot back <eos>
<pad> soup restaurant bowl decided time <eos>
<pad> day house home mom family <eos>
<pad> day wanted decided home back <eos>
<pad> dog day shelter home happy <eos>
<pad> game coach ball team won <eos>
<pad> day wanted decided thought home <eos>
<pad> friends day scared wild back <eos>
<pad> chicken decided day tasted home <eos>
<pad> bus late stop day time <eos>
<pad> car money decided home found <eos>
<pad> protest day decided arrested <eos> it
<pad> quiz class started time grade <eos>
<pad> ipad day put back home <eos>
<pad> wanted day decided home back <eos>
<pad> fire house ran alive flames <eos>
<pad> car needed day decided wait <eos>
<pad> fishing day fish caught home <eos>
<pad> spaghetti scratch sauce poured dinner <eos>
<pad> day house started decided home <eos>
<pad> wanted day decided home back <eos>
<pad> hair day decided finally home <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> anna wanted mom head back <eos>
<pad> car road drive accident home <eos>
<pad> overweight day decided back happy <eos>
<pad> day money friends man home <eos>
<pad> car money lot found home <eos>
<pad> class cheat cheating caught fired <eos>
<pad> trampoline day back time fun <eos>
<pad> car drive raining found home <eos>
<pad> wanted share day home left <eos>
<pad> job nervous interview questions confident <eos>
<pad> dinner eat food cooked night <eos>
<pad> restaurant decided soup food home <eos>
<pad> tree reach cut yard damage <eos>
<pad> wanted day started lot home <eos>
<pad> cup day poured decided glass <eos>
<pad> day wanted decided home back <eos>
<pad> shape gym day lot home <eos>
<pad> trampoline day back time fun <eos>
<pad> cat pet cats adopted home <eos>
<pad> earrings decided day work home <eos>
<pad> day wanted decided home back <eos>
<pad> lunch eat food decided home <eos>
<pad> shoes money buy found pair <eos>
<pad> cook cooking pan oven home <eos>
<pad> hike hiked trail top squirrel <eos>
<pad> airport plane flight decided home <eos>
<pad> swim pool swimming swam scared <eos>
<pad> work day hospital doctor back <eos>
<pad> boyfriend friends day love found <eos>
<pad> pool swim swimming swam towels <eos>
<pad> wanted day decided home back <eos>
<pad> dinner date asked day home <eos>
<pad> john day suddenly balloon glad <eos>
<pad> dress money saved stores found <eos>
<pad> jeans holes wore pair . <eos>
<pad> week day delivered home mail <eos>
<pad> sarah doctor wrong shocked home <eos>
<pad> pregnant day doctor home surprise <eos>
<pad> business started open day work <eos>
<pad> car decided started day back <eos>
<pad> hair day decided finally home <eos>
<pad> trip money decided fun end <eos>
<pad> wanted day decided started <eos> glad
<pad> bake dough baked kitchen make <eos>
<pad> kids day eggs decided home <eos>
<pad> list store milk remember home <eos>
<pad> car day decided put home <eos>
<pad> gina day decided work left <eos>
<pad> gina snow cold night home <eos>
<pad> beach weather water home damage <eos>
<pad> costume halloween day decided work <eos>
<pad> wanted day decides finally home <eos>
<pad> dinner day decided store pizza <eos>
<pad> day wanted decided home back <eos>
<pad> car needed day decided wait <eos>
<pad> bake ingredients baked mixed decided <eos>
<pad> dog day decided home happy <eos>
<pad> wanted day doctor lot hospital <eos>
<pad> day wanted decided home back <eos>
<pad> susan day decided home mom <eos>
<pad> day wanted decided home back <eos>
<pad> turtle day shell grass home <eos>
<pad> tom day decided eventually home <eos>
<pad> day wanted decided home back <eos>
<pad> job day work lot man <eos>
<pad> exam needed morning finally minutes <eos>
<pad> car day decided work home <eos>
<pad> chair day decided put home <eos>
<pad> money day lot finally home <eos>
<pad> computer day upgrade parts virus <eos>
<pad> plane fly airplane board day <eos>
<pad> day wanted decided home back <eos>
<pad> wanted day decided home back <eos>
<pad> dinner decided day eggs home <eos>
<pad> late work woke time warning <eos>
<pad> day wanted decided home back <eos>
<pad> day decided made doctor left <eos>
<pad> prison day lot asked home <eos>
<pad> wanted day decided home back <eos>
<pad> ball day neighbor game hit <eos>
<pad> wanted decided day eating home <eos>
<pad> tom box buy found gift <eos>
<pad> play bowl day lot won <eos>
<pad> funeral day ran found proud <eos>
<pad> ring day told found decision <eos>
<pad> car day suddenly ran home <eos>
<pad> costume halloween enter decided won <eos>
<pad> car race faster track won <eos>
<pad> sandwich cheese made make happy <eos>
<pad> car drive day home happy <eos>
<pad> christmas presents gifts gift toys <eos>
<pad> change work changed back home <eos>
<pad> pregnant born hospital baby <eos> twins
<pad> glasses feared wore put glad <eos>
<pad> war win day won <eos> proud
<pad> star day decided night talent <eos>
<pad> jacket cold put decided find <eos>
<pad> car smell gas hurt <eos> he
<pad> day wanted decided thought home <eos>
<pad> fishing fish caught tank home <eos>
<pad> day wanted decided home back <eos>
<pad> band play members performed made <eos>
<pad> nervous doctor day told home <eos>
<pad> car day suddenly bat home <eos>
<pad> birthday friends planned presents cake <eos>
<pad> car day school accident damage <eos>
<pad> zoo monkeys day back home <eos>
<pad> day wanted decided home back <eos>
<pad> wanted day decided thought found <eos>
<pad> dance dancing danced good eventually <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> thanksgiving family dinner recipes year <eos>
<pad> restaurant food decided eating home <eos>
<pad> visit grandma house home family <eos>
<pad> work day paper doctor write <eos>
<pad> day wanted decided home back <eos>
<pad> neighbors introduce day finally back <eos>
<pad> day wanted decided home back <eos>
<pad> store day decided lot home <eos>
<pad> friends day win game won <eos>
<pad> lawn mow day car home <eos>
<pad> nervous studied test failed pass <eos>
<pad> car drive lot finally trip <eos>
<pad> day suddenly looked home back <eos>
<pad> girl love day fell married <eos>
<pad> office chair work day home <eos>
<pad> bake day bread made happy <eos>
<pad> dinner day decided mother make <eos>
<pad> car day bat lot happy <eos>
<pad> girl day girlfriend met happy <eos>
<pad> wanted day thought lot happy <eos>
<pad> wedding married aisle dress ceremony <eos>
<pad> netflix day asked home year <eos>
<pad> earrings decided day work home <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided thought home <eos>
<pad> dinner burned soup grabbed tasted <eos>
<pad> lunch school day cafeteria home <eos>
<pad> work sleep morning night back <eos>
<pad> wanted parents difficult chickens happy <eos>
<pad> school friends day year home <eos>
<pad> paint day painted piece art <eos>
<pad> doctor day work home happy <eos>
<pad> wanted day decided home found <eos>
<pad> wanted decided day lot home <eos>
<pad> sandwich fridge refrigerator kitchen find <eos>
<pad> gina day home told <eos> to
<pad> wanted day decided made happy <eos>
<pad> chris day lot eventually happy <eos>
<pad> car day house fell hospital <eos>
<pad> wanted decided day bought home <eos>
<pad> boat lake excited ride home <eos>
<pad> play day nervous performance time <eos>
<pad> wanted day lot lost back <eos>
<pad> day wanted decided home life <eos>
<pad> restaurant food decided eating home <eos>
<pad> bike rode ride fell home <eos>
<pad> day wanted decided home back <eos>
<pad> wanted day started decided home <eos>
<pad> cup glass turned poured threw <eos>
<pad> restaurant order ordered food minutes <eos>
<pad> wanted decided day happy proud <eos>
<pad> family day decided finally cruise <eos>
<pad> phones phone dropped purchased screen <eos>
<pad> day wanted decided home back <eos>
<pad> eat decided food dinner wait <eos>
<pad> tomatoes day sauce delicious home <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> shoes feet found pair home <eos>
<pad> cat pet day home kitten <eos>
<pad> wanted nervous decided day home <eos>
<pad> wanted gift buy gifts happy <eos>
<pad> work day started doctor returned <eos>
<pad> john day game won home <eos>
<pad> john car decided ticket happy <eos>
<pad> car day build started home <eos>
<pad> dance day lot performance dancer <eos>
<pad> casino wanted day decided home <eos>
<pad> joe jump air day wait <eos>
<pad> tom decided day back home <eos>
<pad> wanted day decided home happy <eos>
<pad> house day decided home work <eos>
<pad> friend thought decided put home <eos>
<pad> day wanted decided home back <eos>
<pad> gina day friends time home <eos>
<pad> fleas day night back <eos> with
<pad> artist paintings day art talent <eos>
<pad> joe work started project man <eos>
<pad> election day started man <eos> vote
<pad> play day friends game won <eos>
<pad> shave grow day beard happy <eos>
<pad> james air ride landed drops <eos>
<pad> day wanted decided home back <eos>
<pad> day house home mom work <eos>
<pad> anna day difficult decided <eos> history
<pad> fishing boat lake fish shore <eos>
<pad> beer drink beers drinking decided <eos>
<pad> roof day called back <eos> glad
<pad> job day back told neighbors <eos>
<pad> night friends decided dinner home <eos>
<pad> wanted golf day end fun <eos>
<pad> day decided made work happy <eos>
<pad> day wanted decided home back <eos>
<pad> day wanted decided home back <eos>
<pad> prom wanted asked dress date <eos>
<pad> chicken ingredients checked tasted eating <eos>
<pad> tom day morning night home <eos>
<pad> buy money store bought happy <eos>
<pad> class teacher failed test day <eos>
<pad> pregnant day doctor told home <eos>
<pad> day decided doctor back <eos> i
<pad> play day game won lost <eos>
<pad> hair day iron decided home <eos>
<pad> pumpkin wanted decided time happy <eos>
<pad> contest compete entered won win <eos>
<pad> job day doctor time back <eos>
<pad> day wanted decided home back <eos>
<pad> wanted day decided back home <eos>
<pad> grade class grades day school <eos>
<pad> hike dark cave found back <eos>
<pad> tom needed dryer buy wait <eos>
<pad> sally doctor day hospital home <eos>
<pad> dog day put decided home <eos>
<pad> car day decided home make <eos>
<pad> day wanted decided home back <eos>
<pad> story write read time day <eos>
<pad> gina day started time home <eos>
<pad> money decided bills saved paid <eos>
<pad> tom day shocked work fired <eos>
<pad> bake pie money baked make <eos>
<pad> game day team won goal <eos>
<pad> school day friends year home <eos>
<pad> dance asked dress finally back <eos>
<pad> randy money store decided left <eos>
<pad> deer road pull car home <eos>
<pad> tom thunder back day home <eos>
<pad> dinner family ate gifts presents <eos>
<pad> play day lot found home <eos>
<pad> wanted day decided told home <eos>
<pad> wanted day decided mailman left <eos>
<pad> wash day washed load <eos> someone
<pad> bake ingredients oven baked cake <eos>
<pad> essay wrote day write paper <eos>
<pad> john day started decided home <eos>
<pad> john day nose made home <eos>
<pad> toy day toys fix home <eos>
<pad> candy sweets ate decided delicious <eos>
<pad> morning alarm set fix happened <eos>
<pad> wanted ride hill scared left <eos>
<pad> park packed ate picnic home <eos>
<pad> beer beers decided store flavors <eos>
<pad> day friends decided lost back <eos>
<pad> day school decided made <eos> glad
<pad> cat day food home back <eos>
<pad> car license drive price home <eos>
<pad> sky day dive decided back <eos>
<pad> box day opened door home <eos>
<pad> prom asked dress date stores <eos>
<pad> car license test nervous home <eos>
<pad> car seat decided day left <eos>
<pad> day house missing found home <eos>
<pad> car money lot found home <eos>
<pad> morning set alarm woke <eos> to
<pad> trip day lot finally fun <eos>
<pad> day wanted decided thought home <eos>
<pad> park dog walk dogs home <eos>
<pad> snowman snow kids decided back <eos>
<pad> doctor day allergic allergies hospital <eos>
<pad> sarah nervous excited stage bookstore <eos>
<pad> college day accepted decided proud <eos>
<pad> thirsty water bottle drank <eos> he
<pad> day needed back home left <eos>
